"census_tra","income_range"
"000000",2
"010100",2
"010200",2
"010300",2
"010400",2
"010500",2
"010600",2
"010700",2
"010800",2
"010900",3
"020100",3
"020200",3
"020300",3
"020400",3
"020500",2
"020600",3
"020700",3
"020800",3
"020900",2
"030100",2
"030200",2
"030300",2
"030400",2
"030500",2
"030600",2
"030700",2
"030800",2
"030900",2
"031000",3
"031100",2
"031200",1
"031300",2
"031400",3
"031500",1
"031600",2
"031700",2
"031800",3
"031900",3
"032000",3
"032100",2
"040100",3
"040200",2
"040300",3
"040400",3
"040500",2
"040600",3
"040700",3
"040800",3
"040900",2
"041000",2
"050100",3
"050200",3
"050300",3
"050400",2
"050500",3
"050600",3
"050700",3
"050800",3
"050900",3
"051000",3
"051100",3
"051200",3
"051300",5
"051400",5
"051500",3
"060100",4
"060200",3
"060300",4
"060400",4
"060500",2
"060600",3
"060700",2
"060800",3
"060900",3
"061000",2
"061100",4
"061200",5
"061300",3
"061400",4
"061500",4
"061600",3
"061700",5
"061800",3
"061900",2
"062000",3
"062100",3
"062200",3
"062300",5
"062400",4
"062500",4
"062600",4
"062700",4
"062800",5
"062900",4
"063000",4
"063100",3
"063200",3
"063300",3
"063400",3
"070100",3
"070200",4
"070300",4
"070400",4
"070500",5
"070600",5
"070700",3
"070800",2
"070900",5
"071000",5
"071100",5
"071200",4
"071300",4
"071400",3
"071500",4
"071600",5
"071700",5
"071800",5
"071900",5
"072000",5
"080100",2
"080200",2
"080300",4
"080400",2
"080500",1
"080600",5
"080700",4
"080800",1
"080900",3
"081000",3
"081100",2
"081200",4
"081300",4
"081400",4
"081500",4
"081600",4
"081700",3
"081800",5
"081900",1
"090100",3
"090200",3
"090300",4
"100100",3
"100200",3
"100300",3
"100400",3
"100500",3
"100600",3
"100700",3
"110100",3
"110200",3
"110300",3
"110400",3
"110500",3
"120100",5
"120200",4
"120300",4
"120400",3
"130100",3
"130200",4
"130300",3
"130400",2
"130500",3
"140100",2
"140200",2
"140300",3
"140400",3
"140500",3
"140600",2
"140700",2
"140800",3
"150100",2
"150200",3
"150300",3
"150400",3
"150500",3
"150600",3
"150700",3
"150800",2
"150900",3
"151000",2
"151100",3
"151200",3
"160100",3
"160200",3
"160300",2
"160400",3
"160500",3
"160600",3
"160700",3
"160800",3
"160900",3
"161000",3
"161100",3
"161200",3
"161300",33
"170100",3
"170200",3
"170300",3
"170400",3
"170500",3
"170600",3
"170700",3
"170800",3
"170900",3
"171000",3
"171100",3
"180100",2
"180200",3
"180300",3
"190100",3
"190200",3
"190300",3
"190400",3
"190500",3
"190600",3
"190700",3
"190800",2
"190900",3
"191000",3
"191100",3
"191200",2
"191300",3
"191400",3
"200100",2
"200200",2
"200300",3
"200400",2
"200500",2
"200600",2
"210100",3
"210200",2
"210300",2
"210400",3
"210500",2
"210600",2
"210700",2
"210800",2
"210900",3
"220100",3
"220200",3
"220300",3
"220400",3
"220500",2
"220600",2
"220700",2
"220800",2
"220900",2
"221000",2
"221100",2
"221200",2
"221300",2
"221400",2
"221500",2
"221600",3
"221700",3
"221800",3
"221900",3
"222000",4
"222100",4
"222200",3
"222300",2
"222400",2
"222500",2
"222600",2
"222700",2
"222800",2
"222900",1
"230100",2
"230200",2
"230300",2
"230400",2
"230500",2
"230600",2
"230700",2
"230800",2
"230900",2
"231000",2
"231100",2
"231200",2
"231300",2
"231400",1
"231500",2
"231600",2
"231700",2
"231800",2
"240100",1
"240200",2
"240300",4
"240400",5
"240500",4
"240600",2
"240700",1
"240800",2
"240900",2
"241000",2
"241100",2
"241200",2
"241300",3
"241400",3
"241500",3
"241600",2
"241700",2
"241800",4
"241900",3
"242000",2
"242100",2
"242200",3
"242300",3
"242400",3
"242500",2
"242600",2
"242700",2
"242800",3
"242900",2
"243000",2
"243100",3
"243200",3
"243300",2
"243400",2
"243500",4
"243600",4
"250100",2
"250200",2
"250300",2
"250400",3
"250500",3
"250600",3
"250700",2
"250800",3
"250900",3
"251000",2
"251100",2
"251200",3
"251300",2
"251400",2
"251500",2
"251600",2
"251700",2
"251800",2
"251900",2
"252000",2
"252100",2
"252200",2
"252300",2
"252400",2
"260100",1
"260200",2
"260300",2
"260400",2
"260500",2
"260600",2
"260700",2
"260800",2
"260900",2
"261000",2
"270100",2
"270200",2
"270300",1
"270400",2
"270500",1
"270600",2
"270700",2
"270800",1
"270900",2
"271000",2
"271100",1
"271200",2
"271300",2
"271400",2
"271500",3
"271600",2
"271700",2
"271800",2
"271900",2
"280100",5
"280200",4
"280300",3
"280400",1
"280500",1
"280600",2
"280700",2
"280800",1
"280900",1
"281000",2
"281100",1
"281200",3
"281300",1
"281400",1
"281500",2
"281600",1
"281700",1
"281800",5
"281900",3
"282000",3
"282100",4
"282200",3
"282300",3
"282400",2
"282500",2
"282600",1
"282700",2
"282800",3
"282900",2
"283000",2
"283100",2
"283200",1
"283300",2
"283400",1
"283500",2
"283600",2
"283700",1
"283800",1
"283900",1
"284000",1
"284100",1
"284200",1
"284300",4
"290100",1
"290200",1
"290300",1
"290400",1
"290500",1
"290600",1
"290700",1
"290800",1
"290900",2
"291000",2
"291100",1
"291200",1
"291300",1
"291400",1
"291500",2
"291600",2
"291700",1
"291800",1
"291900",1
"292000",1
"292100",2
"292200",2
"292300",2
"292400",2
"292500",2
"292600",2
"292700",1
"300100",2
"300200",2
"300300",1
"300400",1
"300500",2
"300600",2
"300700",2
"300800",2
"300900",2
"301000",2
"301100",2
"301200",2
"301300",2
"301400",2
"301500",2
"301600",2
"301700",2
"301800",2
"301900",3
"302000",3
"310100",2
"310200",2
"310300",3
"310400",2
"310500",2
"310600",2
"310700",2
"310800",2
"310900",2
"311000",2
"311100",1
"311200",1
"311300",2
"311400",2
"311500",1
"320100",4
"320200",2
"320300",4
"320400",2
"320500",4
"320600",3
"330100",3
"330200",2
"330300",1
"330400",2
"330500",2
"340100",2
"340200",2
"340300",3
"340400",1
"340500",1
"340600",2
"350100",2
"350200",1
"350300",3
"350400",1
"350500",1
"350600",1
"350700",1
"350800",3
"350900",4
"351000",3
"351100",1
"351200",1
"351300",2
"351400",1
"351500",1
"360100",1
"360200",1
"360300",1
"360400",1
"360500",1
"370100",1
"370200",2
"370300",2
"370400",2
"380100",1
"380200",1
"380300",2
"380400",1
"380500",1
"380600",1
"380700",1
"380800",2
"380900",2
"381000",2
"381100",3
"381200",1
"381300",1
"381400",1
"381500",1
"381600",1
"381700",1
"381800",1
"381900",1
"382000",1
"390100",3
"390200",2
"390300",1
"390400",1
"390500",3
"390600",3
"390700",3
"400100",1
"400200",1
"400300",1
"400400",1
"400500",1
"400600",2
"400700",1
"400800",1
"410100",2
"410200",2
"410300",2
"410400",2
"410500",2
"410600",2
"410700",2
"410800",2
"410900",3
"411000",3
"411100",4
"411200",4
"411300",3
"411400",3
"420100",1
"420200",2
"420300",2
"420400",1
"420500",1
"420600",1
"420700",2
"420800",2
"420900",1
"421000",1
"421100",1
"421200",1
"430100",2
"430200",2
"430300",2
"430400",2
"430500",1
"430600",2
"430700",2
"430800",2
"430900",2
"431000",2
"431100",2
"431200",3
"431300",2
"431400",2
"440100",2
"440200",2
"440300",2
"440400",2
"440500",5
"440600",3
"440700",3
"440800",2
"440900",2
"450100",2
"450200",3
"450300",3
"460100",2
"460200",2
"460300",2
"460400",2
"460500",2
"460600",2
"460700",2
"460800",2
"460900",1
"461000",1
"470100",2
"480100",3
"480200",3
"480300",3
"480400",3
"480500",2
"490100",2
"490200",2
"490300",3
"490400",3
"490500",3
"490600",3
"490700",2
"490800",3
"490900",2
"491000",3
"491100",2
"491200",3
"491300",2
"491400",2
"500100",2
"500200",2
"500300",2
"510100",2
"510200",3
"510300",2
"510400",3
"510500",2
"520100",2
"520200",2
"520300",2
"520400",3
"520500",3
"520600",3
"530100",2
"530200",2
"530300",3
"530400",3
"530500",3
"530600",2
"540100",1
"550100",3
"550200",3
"560100",3
"560200",1
"560300",3
"560400",3
"560500",3
"560600",2
"560700",3
"560800",3
"560900",3
"561000",3
"561100",3
"561200",1
"561300",1
"570100",2
"570200",3
"570300",2
"570400",2
"570500",3
"580100",3
"580200",2
"580300",2
"580400",2
"580500",2
"580600",2
"580700",2
"580800",3
"580900",2
"581000",1
"581100",3
"590100",2
"590200",2
"590300",3
"590400",2
"590500",2
"590600",2
"590700",2
"600100",2
"600200",2
"600300",2
"600400",2
"600500",2
"600600",2
"600700",3
"600800",2
"600900",2
"601000",2
"601100",3
"601200",3
"601300",2
"601400",2
"601500",3
"601600",4
"610100",3
"610200",1
"610300",2
"610400",2
"610500",1
"610600",3
"610700",3
"610800",2
"610900",2
"611000",2
"611100",1
"611200",1
"611300",2
"611400",2
"611500",2
"611600",2
"611700",1
"611800",2
"611900",2
"612000",2
"612100",2
"612200",2
"620100",2
"620200",3
"620300",3
"620400",3
"630100",2
"630200",2
"630300",2
"630400",2
"630500",2
"630600",2
"630700",2
"630800",2
"630900",2
"640100",2
"640200",1
"640300",3
"640400",3
"640500",3
"640600",3
"640700",3
"640800",3
"650100",2
"650200",3
"650300",3
"650400",3
"650500",3
"660100",2
"660200",2
"660300",2
"660400",2
"660500",3
"660600",2
"660700",2
"660800",2
"660900",2
"661000",3
"661100",3
"670100",2
"670200",2
"670300",2
"670400",2
"670500",2
"670600",2
"670700",2
"670800",2
"670900",2
"671000",2
"671100",2
"671200",2
"671300",2
"671400",2
"671500",2
"671600",2
"671700",1
"671800",2
"671900",2
"672000",2
"680100",2
"680200",2
"680300",1
"680400",1
"680500",1
"680600",1
"680700",1
"680800",2
"680900",1
"681000",1
"681100",2
"681200",1
"681300",2
"681400",2
"690100",1
"690200",1
"690300",2
"690400",2
"690500",2
"690600",2
"690700",2
"690800",2
"690900",2
"691000",3
"691100",2
"691200",2
"691300",3
"691400",2
"691500",2
"700100",3
"700200",3
"700300",3
"700400",3
"700500",3
"710100",2
"710200",2
"710300",2
"710400",2
"710500",2
"710600",2
"710700",2
"710800",2
"710900",2
"711000",2
"711100",2
"711200",3
"711300",3
"711400",3
"711500",2
"720100",5
"720200",4
"720300",5
"720400",3
"720500",4
"720600",4
"720700",3
"730100",3
"730200",3
"730300",2
"730400",3
"730500",3
"730600",3
"730700",2
"740100",2
"740200",4
"740300",4
"740400",3
"750100",3
"750200",4
"750300",4
"750400",4
"750500",3
"750600",2
"760800",1
"760900",1
"770600",1
"770700",1
"770800",1
"770900",3
"808100",5
"810400",4
"810501",3
"811600",1
"820800",3
"821500",1
"823304",1
"840000",1
